id,cash_request_id,type,status,category,total_amount,reason,created_at,updated_at,paid_at,from_date,to_date,charge_moment
6537,14941,instant_payment,rejected,,5.00,Instant Payment Cash Request 14941,2020-09-07 10:47:27.42315+00,2020-10-13 14:25:09.396112+00,2020-12-17 14:50:07.47011+00,,,after
6961,11714,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-09-09 20:51:17.998653+00,2020-10-13 14:25:15.537063+00,2020-12-08 17:13:10.45908+00,,,after
16296,23371,instant_payment,accepted,,5.00,Instant Payment Cash Request 23371,2020-10-23 10:10:58.352972+00,2020-10-23 10:10:58.352994+00,2020-11-04 19:34:37.43291+00,,,after
20775,26772,instant_payment,accepted,,5.00,Instant Payment Cash Request 26772,2020-10-31 15:46:53.643958+00,2020-10-31 15:46:53.643982+00,2020-11-19 05:09:22.500223+00,,,after
11242,19350,instant_payment,accepted,,5.00,Instant Payment Cash Request 19350,2020-10-06 08:20:17.170432+00,2020-10-13 14:25:03.267983+00,2020-11-02 14:45:20.355598+00,,,after
17029,24052,instant_payment,accepted,,5.00,Instant Payment Cash Request 24052,2020-10-24 12:22:27.666102+00,2020-10-24 12:22:27.666124+00,2020-11-09 19:10:14.47407+00,,,after
19956,25983,instant_payment,accepted,,5.00,Instant Payment Cash Request 25983,2020-10-30 04:38:06.826149+00,2020-10-30 04:38:06.826173+00,2020-12-21 13:52:27.94128+00,,,after
14187,14839,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-16 23:48:50.655967+00,2020-10-16 23:48:50.655988+00,2020-11-05 14:15:36.600041+00,,,after
20539,26572,instant_payment,accepted,,5.00,Instant Payment Cash Request 26572,2020-10-31 05:29:08.4718+00,2020-10-31 05:29:08.471822+00,2020-11-28 19:41:43.667114+00,,,after
15431,22106,postpone,cancelled,,5.00,Postpone Cash Request 22106,2020-10-21 08:48:50.696961+00,2020-10-21 08:48:50.696991+00,,2020-11-04 22:00:00+00,2020-11-05 11:00:00+00,before
17962,24756,instant_payment,accepted,,5.00,Instant Payment Cash Request 24756,2020-10-26 16:53:54.411479+00,2020-10-26 16:53:54.411501+00,2020-11-05 19:51:31.569627+00,,,after
15434,21897,postpone,accepted,,5.00,Postpone Cash Request 21897,2020-10-21 09:00:21.619473+00,2020-10-21 09:00:21.619504+00,2020-10-21 09:00:25.398771+00,2020-10-26 22:00:00+00,2020-10-30 23:00:00+00,before
20199,25490,postpone,cancelled,,5.00,Postpone Cash Request 25490,2020-10-30 16:51:49.45659+00,2020-10-30 16:51:49.456616+00,,2020-11-06 22:00:00+00,2020-11-12 11:00:00+00,before
20537,26568,instant_payment,accepted,,5.00,Instant Payment Cash Request 26568,2020-10-31 04:32:20.488692+00,2020-10-31 04:32:20.488714+00,2020-11-13 02:20:30.389241+00,,,after
19517,25902,instant_payment,accepted,,5.00,Instant Payment Cash Request 25902,2020-10-29 03:20:54.672102+00,2020-10-29 03:20:54.672126+00,2020-11-25 15:46:47.8246+00,,,after
14420,17963,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-17 22:18:53.924407+00,2020-10-17 22:18:53.924429+00,2020-10-17 22:19:00.10911+00,,,after
20532,26565,instant_payment,accepted,,5.00,Instant Payment Cash Request 26565,2020-10-31 02:50:23.143287+00,2020-10-31 02:50:23.143308+00,2020-11-15 19:04:57.453678+00,,,after
13949,19876,postpone,accepted,,5.00,Postpone Cash Request 19876,2020-10-16 08:34:39.39839+00,2020-10-16 08:34:39.398412+00,2020-10-16 08:34:43.529531+00,2020-10-23 13:25:59.902+00,2020-11-03 23:00:00+00,before
14793,22136,instant_payment,accepted,,5.00,Instant Payment Cash Request 22136,2020-10-19 12:13:36.909792+00,2020-10-19 12:13:36.909815+00,2020-11-03 19:48:16.73593+00,,,after
19761,24564,postpone,cancelled,,5.00,Postpone Cash Request 24564,2020-10-29 14:00:30.956061+00,2020-10-29 14:00:30.956085+00,,2020-10-29 23:00:00+00,2020-10-30 23:00:00+00,before
19061,25527,instant_payment,accepted,,5.00,Instant Payment Cash Request 25527,2020-10-28 11:56:25.8875+00,2020-10-28 11:56:25.887521+00,2020-11-18 18:56:11.673314+00,,,after
20530,19909,postpone,cancelled,,5.00,Postpone Cash Request 19909,2020-10-31 01:49:46.485098+00,2020-10-31 01:49:46.485121+00,,2020-11-03 23:51:00+00,2020-11-05 23:00:00+00,before
15878,22357,postpone,accepted,,5.00,Postpone Cash Request 22357,2020-10-22 09:52:45.915328+00,2020-10-22 09:52:50.00631+00,2020-10-22 09:52:50.145043+00,2020-11-05 22:00:00+00,2020-12-05 11:00:00+00,before
14728,21504,instant_payment,accepted,,5.00,Instant Payment Cash Request 21504,2020-10-19 08:37:53.558973+00,2020-10-19 08:37:53.558995+00,2020-11-06 19:31:33.853171+00,,,after
19332,25768,instant_payment,accepted,,5.00,Instant Payment Cash Request 25768,2020-10-28 18:21:15.872667+00,2020-10-28 18:21:15.872691+00,2020-12-03 11:39:55.697872+00,,,after
13718,21302,instant_payment,accepted,,5.00,Instant Payment Cash Request 21302,2020-10-15 12:16:42.832815+00,2020-10-15 12:16:42.832836+00,2020-11-10 10:07:09.631798+00,,,after
20534,26567,instant_payment,accepted,,5.00,Instant Payment Cash Request 26567,2020-10-31 03:38:05.276976+00,2020-10-31 03:38:05.276999+00,2020-11-27 21:17:30.380075+00,,,after
14433,10287,incident,rejected,rejected_direct_debit,5.00,rejected direct debit,2020-10-17 22:19:48.806283+00,2020-10-17 22:19:48.806303+00,2020-12-17 14:33:35.516056+00,,,after
20531,20599,postpone,accepted,,5.00,Postpone Cash Request 20599,2020-10-31 02:24:23.212854+00,2020-10-31 02:24:28.039053+00,2020-10-31 02:24:27.115811+00,2020-11-05 22:00:00+00,2020-11-07 11:00:00+00,before
16690,22251,postpone,cancelled,,5.00,Postpone Cash Request 22251,2020-10-23 19:27:18.036963+00,2020-10-23 19:27:18.036987+00,,2020-10-29 11:00:00+00,2020-11-05 11:00:00+00,before
20424,22829,postpone,accepted,,5.00,Postpone Cash Request 22829,2020-10-30 18:35:58.179048+00,2020-10-30 18:36:02.436257+00,2020-10-30 18:36:02.48741+00,2020-10-31 11:00:00+00,2020-11-07 11:00:00+00,before
20536,17458,postpone,accepted,,5.00,Postpone Cash Request 17458,2020-10-31 04:02:34.706429+00,2020-10-31 04:02:34.706451+00,2020-10-31 04:02:38.350917+00,2020-10-30 23:00:00+00,2020-11-10 23:00:00+00,before
20543,21351,postpone,accepted,,5.00,Postpone Cash Request 21351,2020-10-31 06:34:44.033439+00,2020-10-31 06:34:44.033465+00,2020-10-31 06:34:48.506356+00,2020-10-30 22:00:00+00,2020-11-01 23:00:00+00,before
13483,21138,instant_payment,accepted,,5.00,Instant Payment Cash Request 21138,2020-10-14 18:05:10.496937+00,2020-10-14 18:05:10.49696+00,2020-11-02 14:22:29.611641+00,,,after
3024,11186,instant_payment,accepted,,5.00,Instant Payment Cash Request 11186,2020-08-07 09:15:04.678738+00,2020-10-13 14:25:00.740429+00,2020-11-04 02:34:49.161694+00,,,after
18552,25131,instant_payment,accepted,,5.00,Instant Payment Cash Request 25131,2020-10-27 11:44:52.064605+00,2020-10-27 11:44:52.064646+00,2020-11-02 17:24:14.280363+00,,,after
20939,21066,postpone,accepted,,5.00,Postpone Cash Request 21066,2020-11-01 06:36:32.049911+00,2020-11-01 06:36:32.049934+00,2020-11-01 06:36:36.50581+00,2020-11-04 13:12:00+00,2020-11-29 23:00:00+00,before
20937,26787,postpone,accepted,,5.00,Postpone Cash Request 26787,2020-11-01 06:08:29.444758+00,2020-11-01 06:08:32.889762+00,2020-11-01 06:08:33.183563+00,2020-11-15 16:35:31.306+00,2020-12-04 11:00:00+00,before
21157,24323,postpone,cancelled,,5.00,Postpone Cash Request 24323,2020-11-01 22:12:12.243781+00,2020-11-01 22:12:12.243811+00,,2020-11-09 11:25:36.48+00,2020-11-29 23:00:00+00,before
13150,20878,instant_payment,accepted,,5.00,Instant Payment Cash Request 20878,2020-10-13 14:28:08.075145+00,2020-10-13 14:28:08.075176+00,2020-11-03 16:27:26.995404+00,,,after
14188,15989,incident,accepted,rejected_direct_debit,5.00,rejected direct debit,2020-10-16 23:48:52.16855+00,2020-10-16 23:48:52.168578+00,2020-11-16 13:33:09.113667+00,,,after
13719,17335,postpone,cancelled,,5.00,Postpone Cash Request 17335,2020-10-15 12:21:16.847407+00,2020-10-15 12:21:16.847432+00,,2020-10-20 17:45:02.414+00,2020-11-14 23:00:00+00,after
